PosV3,WT_1,WT_2,WT_3,Drho_1,Drho_2,Drho_3,brown,brown,brown,white
1110,6.2341,5.854,6.4623,4.9475,5.3101,5.1596,2.3219,3.3219,0,1
1130,6.2343,5.8358,6.4513,4.9407,5.3105,5.145,2.3219,3.3219,0,1
1146,6.228,5.8144,6.4276,4.9267,5.3059,5.1178,2.3219,3.3219,0,1
1168,6.2259,5.8001,6.3856,4.9023,5.3029,5.0841,2.3219,3.3219,0,1
1190,6.2254,5.7946,6.3825,4.9103,5.2962,5.066,2.3219,3.3219,0,1
1214,6.2324,5.7901,6.3945,5.0051,5.307,5.0913,2.3219,3.3219,0,1
1243,6.2325,5.7773,6.398,5.0502,5.3081,5.1194,2.3219,3.3219,0,1
1260,6.2324,5.7689,6.3965,5.0485,5.29,5.1275,2.3219,3.3219,0,1
1280,6.2176,5.7183,6.3701,4.9993,5.2502,5.1023,2.3219,3.3219,0,1
1300,6.205,5.6927,6.3505,4.9368,5.2088,5.0626,2.3219,3.3219,0,1
1324,6.1923,5.6878,6.3305,4.9155,5.1515,5.0498,2.3219,3.3219,0,1
1346,6.1858,5.7071,6.3285,4.9162,5.1198,5.0447,2.3219,3.3219,0,1
1374,6.1778,5.7101,6.3072,4.825,5.0739,5.0264,2.3219,3.3219,0,1
1397,6.1697,5.7222,6.2453,4.611,4.9764,5.0089,2.3219,3.3219,0,1
1419,6.1752,5.7574,6.2644,4.5998,4.9519,5.0114,2.3219,3.3219,0,1
1435,6.2618,5.8713,6.5126,4.9619,5.0447,5.1339,2.3219,3.3219,0,1
1462,6.2946,5.9267,6.5457,5.0119,5.071,5.1557,2.3219,3.3219,0,1
1482,6.3442,6.0094,6.5798,5.1663,5.1999,5.2737,2.3219,3.3219,0,1
1507,6.429,6.2171,6.7096,5.2419,5.3404,5.3545,2.3219,3.3219,0,1
1529,6.4854,6.2912,6.7402,5.2711,5.4308,5.3959,2.3219,3.3219,0,1
1547,6.5141,6.3554,6.7495,5.2929,5.4642,5.4078,2.3219,3.3219,0,1
1568,6.521,6.3771,6.7449,5.2984,5.4757,5.4031,2.3219,3.3219,0,1
1590,6.5516,6.4018,6.753,5.3309,5.4831,5.4144,2.3219,3.3219,0,1
1616,6.5739,6.4252,6.7551,5.3518,5.4866,5.4274,2.3219,3.3219,0,1
1636,6.6004,6.4377,6.7776,5.4196,5.5468,5.4563,2.3219,3.3219,0,1
1656,6.6129,6.4453,6.7932,5.465,5.5839,5.4743,2.3219,3.3219,0,1
1676,6.6301,6.4575,6.8091,5.4898,5.5934,5.4831,2.3219,3.3219,0,1
1705,6.6254,6.4742,6.7848,5.4695,5.5759,5.4647,2.3219,3.3219,0,1
1727,6.6254,6.4826,6.7424,5.4372,5.556,5.4369,2.3219,3.3219,0,1
1747,6.6262,6.4805,6.7008,5.4036,5.504,5.4121,2.3219,3.3219,0,1
1766,6.6185,6.4757,6.6849,5.384,5.4643,5.3956,2.3219,3.3219,0,1
1790,6.5954,6.454,6.6363,5.3236,5.3734,5.3633,2.3219,3.3219,0,1
1814,6.5781,6.4311,6.6064,5.2974,5.2589,5.3282,2.3219,3.3219,0,1
1835,6.553,6.3576,6.5287,5.2207,5.1206,5.2995,2.3219,3.3219,0,1
1856,6.5344,6.2641,6.5133,5.2009,5.0985,5.2825,2.3219,3.3219,0,1
1875,6.4745,6.1427,6.5247,5.17,5.0805,5.2771,2.3219,3.3219,0,1
1902,6.1732,6.0578,6.4488,4.9405,4.9412,5.1375,2.3219,3.3219,0,1
1925,6.1147,6.051,6.3903,4.9205,4.9427,5.1036,2.3219,3.3219,0,1
1947,6.1172,6.0653,6.3986,4.9397,5.0303,5.1135,2.3219,3.3219,0,1
1969,6.1102,6.0802,6.4212,4.9454,5.0623,5.1099,2.3219,3.3219,0,1
1990,6.0731,6.0799,6.4476,4.9391,5.0577,5.1023,2.3219,3.3219,0,1
2013,6.0903,6.0782,6.4516,4.9281,5.0635,5.0862,2.3219,3.3219,0,1
2031,6.0965,6.0834,6.4549,4.9354,5.0694,5.0786,2.3219,3.3219,0,1
2056,6.1131,6.0907,6.4615,4.9389,5.0798,5.0603,2.3219,3.3219,0,1
2079,6.1253,6.1023,6.456,4.9509,5.1069,5.0533,2.3219,3.3219,0,1
2101,6.1385,6.1164,6.4775,4.9709,5.1162,5.0501,2.3219,3.3219,0,1
2123,6.1555,6.1305,6.4888,5.0298,5.1435,5.0545,2.3219,3.3219,0,1
2144,6.1907,6.1495,6.5136,5.1639,5.1973,5.0714,2.3219,3.3219,0,1
2158,6.1977,6.1569,6.5217,5.1706,5.2094,5.0831,2.3219,3.3219,0,1
2189,6.1854,6.1571,6.5208,5.1445,5.1973,5.0863,2.3219,3.3219,0,1
2210,6.143,6.1483,6.5116,5.0712,5.1479,5.0608,2.3219,3.3219,0,1
2232,6.1301,6.1428,6.513,5.0162,5.1546,5.0703,2.3219,3.3219,0,1
2255,6.1262,6.1397,6.5206,5.001,5.157,5.0767,2.3219,3.3219,0,1
2277,6.1245,6.1292,6.5278,4.9912,5.1795,5.0834,2.3219,3.3219,0,1
2294,6.1233,6.119,6.5384,4.9852,5.1961,5.0869,2.3219,3.3219,0,1
2312,6.131,6.1134,6.5477,5.013,5.2315,5.0911,2.3219,3.3219,0,1
2333,6.1539,6.1082,6.5535,5.0367,5.2643,5.0957,2.3219,3.3219,0,1
2365,6.1599,6.1007,6.5488,5.0142,5.2535,5.0858,2.3219,3.3219,0,1
2386,6.1682,6.0945,6.5547,5.0106,5.2464,5.0804,2.3219,3.3219,0,1
2406,6.1863,6.0863,6.5679,5.01,5.2463,5.0922,2.3219,3.3219,0,1
2424,6.1949,6.0787,6.569,5.0044,5.223,5.089,2.3219,3.3219,0,1
2451,6.1965,6.0618,6.5554,4.9531,5.1608,5.0565,2.3219,3.3219,0,1
2468,6.1898,6.0501,6.5429,4.9215,5.1277,5.0474,2.3219,3.3219,0,1
2490,6.1729,6.0528,6.5245,4.917,5.1094,5.0472,2.3219,3.3219,0,1
2519,6.143,6.0482,6.47,4.9241,5.0922,5.0412,2.3219,3.3219,0,1
2541,6.1327,6.0493,6.4535,4.9292,5.0807,5.0348,2.3219,3.3219,0,1
2563,6.1094,6.0359,6.4297,4.9249,5.0566,5.0207,2.3219,3.3219,0,1
2585,6.0929,6.0135,6.3973,4.9031,5.0225,5.002,2.3219,3.3219,0,1
2606,6.0812,5.9832,6.3715,4.8795,4.9881,4.9827,2.3219,3.3219,0,1
2629,6.0637,5.8824,6.3269,4.8474,4.9267,4.9542,2.3219,3.3219,0,1
2648,6.0541,5.7547,6.2914,4.8175,4.856,4.9376,2.3219,3.3219,0,1
2665,6.0513,5.6899,6.2725,4.8237,4.8488,4.937,2.3219,3.3219,0,1
2685,6.0448,5.6428,6.2705,4.8275,4.8733,4.9304,2.3219,3.3219,0,1
2708,6.0539,5.6516,6.2906,4.8742,5.0281,4.9461,2.3219,3.3219,0,1
2733,6.0474,5.6411,6.288,4.8992,5.038,4.9489,2.3219,3.3219,0,1
2758,6.0329,5.6211,6.2376,4.8901,4.9768,4.9045,2.3219,3.3219,0,1
2775,6.0227,5.6126,6.227,4.8888,4.9448,4.8964,2.3219,3.3219,0,1
2800,6.0135,5.602,6.2199,4.8799,4.9055,4.8687,2.3219,3.3219,0,1
2820,5.9984,5.5756,6.1984,4.8603,4.8759,4.8279,2.3219,3.3219,0,1
2840,5.9762,5.568,6.2001,4.8561,4.8328,4.834,2.3219,3.3219,0,1
2866,5.9146,5.5635,6.1899,4.8189,4.7658,4.8099,2.3219,3.3219,0,1
2887,5.893,5.5666,6.1741,4.7856,4.7438,4.7832,2.3219,3.3219,0,1
2915,5.8773,5.5717,6.1665,4.7463,4.735,4.765,2.3219,3.3219,0,1
2937,5.8641,5.5716,6.1586,4.6023,4.7214,4.7507,2.3219,3.3219,0,1
2959,5.8585,5.5714,6.1593,4.5196,4.7129,4.7157,2.3219,3.3219,0,1
2974,5.8472,5.5828,6.1595,4.473,4.7091,4.7163,2.3219,3.3219,0,1
2998,5.8519,5.6009,6.1725,4.4962,4.6966,4.7462,2.3219,3.3219,0,1
3015,5.8495,5.6091,6.1817,4.5204,4.6772,4.773,2.3219,3.3219,0,1
3040,5.8327,5.6144,6.1874,4.5232,4.66,4.7781,2.3219,3.3219,0,1
3066,5.8399,5.6373,6.198,4.5285,4.6598,4.7933,2.3219,3.3219,0,1
3081,4.0961,2.8445,4.4129,3.2938,2.8972,3.3976,2.3219,3.3219,0,1
3104,4.0319,2.9125,4.1194,3.2409,2.8447,3.3508,2.3219,3.3219,0,1
3133,4.0368,3.0188,4.1238,3.293,2.8812,3.4184,2.3219,3.3219,0,1
3154,4.0775,3.057,4.1713,3.4135,2.9341,3.5656,2.3219,3.3219,0,1
3179,4.0849,3.0385,4.174,3.435,2.9306,3.5997,2.3219,3.3219,0,1
3201,7.6236,7.2343,7.7818,6.6229,6.5617,6.6024,2.3219,3.3219,0,1
3222,7.6104,7.222,7.6894,6.619,6.5449,6.596,2.3219,3.3219,0,1
3244,7.5669,7.1802,7.6712,6.5615,6.473,6.5465,2.3219,3.3219,0,1
3264,7.5468,7.1403,7.6581,6.4766,6.44,6.5102,2.3219,3.3219,0,1
3284,7.5345,7.093,7.6449,6.4577,6.4436,6.4794,2.3219,3.3219,0,1
3302,7.5174,7.0186,7.6366,6.4503,6.4465,6.4871,2.3219,3.3219,0,1
3324,7.393,6.8571,7.5843,6.1039,6.3945,6.1411,2.3219,3.3219,0,1
3345,7.3123,6.7726,7.557,6.0498,6.3776,6.0725,2.3219,3.3219,0,1
3367,7.3125,6.741,7.5371,6.0396,6.3751,6.0035,2.3219,3.3219,0,1
3396,7.3021,6.7148,7.4355,6.0179,6.3397,5.9764,2.3219,3.3219,0,1
3421,7.2651,6.6863,7.0994,5.908,6.2272,5.9229,2.3219,3.3219,0,1
3442,7.1711,6.6179,7.0652,5.8533,6.2093,5.8755,2.3219,3.3219,0,1
3464,7.1021,6.5762,6.9792,5.781,6.1597,5.8527,2.3219,3.3219,0,1
3486,7.0742,6.5466,6.966,5.7609,6.1414,5.8467,2.3219,3.3219,0,1
3506,7.0182,6.4882,6.9368,5.7346,6.1015,5.8432,2.3219,3.3219,0,1
3527,6.9732,6.439,6.9196,5.7184,6.0673,5.8379,2.3219,3.3219,0,1
3544,6.9535,6.4228,6.9124,5.7118,6.0641,5.8432,2.3219,3.3219,0,1
3566,6.9166,6.3584,6.893,5.6456,6.0019,5.8291,2.3219,3.3219,0,1
3588,6.9173,6.4046,6.8817,5.6297,5.964,5.829,2.3219,3.3219,0,1
3613,6.9463,6.4987,6.9147,5.767,6.0282,5.8783,2.3219,3.3219,0,1
3641,6.9709,6.5639,6.9928,5.8691,6.0889,5.9476,2.3219,3.3219,0,1
3657,6.99,6.6136,7.077,5.9979,6.1856,6.0878,2.3219,3.3219,0,1
3676,7.0146,6.6658,7.2793,6.1027,6.2682,6.2567,2.3219,3.3219,0,1
3697,7.0029,6.6592,7.2867,6.076,6.2639,6.2383,2.3219,3.3219,0,1
3724,7.0094,6.6616,7.2854,6.0627,6.2672,6.2221,2.3219,3.3219,0,1
3744,7.0218,6.6604,7.2835,6.0284,6.2416,6.2096,2.3219,3.3219,0,1
3764,7.0538,6.6634,7.3259,6.0942,6.2411,6.2365,2.3219,3.3219,0,1
3788,7.0659,6.6613,7.3582,6.1027,6.2296,6.2478,2.3219,3.3219,0,1
3810,7.0727,6.6529,7.367,6.1045,6.2152,6.2326,2.3219,3.3219,0,1
3830,7.0857,6.6559,7.376,6.1046,6.2098,6.2238,2.3219,3.3219,0,1
3853,7.0984,6.6594,7.3785,6.0923,6.2078,6.2073,2.3219,3.3219,0,1
3881,7.1086,6.6614,7.3807,6.0701,6.2086,6.1972,2.3219,3.3219,0,1
3904,7.1183,6.6912,7.3847,6.0584,6.2186,6.1942,2.3219,3.3219,0,1
3920,7.1339,6.7088,7.3939,6.0528,6.2554,6.1926,2.3219,3.3219,0,1
3944,7.1428,6.7216,7.391,6.0342,6.273,6.1795,2.3219,3.3219,0,1
3964,7.1526,6.7299,7.3901,6.0368,6.2962,6.1736,2.3219,3.3219,0,1
3986,7.1671,6.7659,7.3945,6.0429,6.309,6.1722,2.3219,3.3219,0,1
4010,7.1706,6.7824,7.392,6.0293,6.3108,6.1512,2.3219,3.3219,0,1
4030,7.1666,6.7849,7.3902,6.0127,6.31,6.1246,2.3219,3.3219,0,1
4049,7.1654,6.7996,7.3853,5.9944,6.2945,6.1133,2.3219,3.3219,0,1
4072,7.1585,6.8176,7.374,5.9849,6.2964,6.1007,2.3219,3.3219,0,1
4100,7.1621,6.8307,7.3753,6.0589,6.3132,6.1099,2.3219,3.3219,0,1
4124,7.153,6.8407,7.3736,6.0685,6.3149,6.1169,2.3219,3.3219,0,1
4147,7.1401,6.8495,7.3807,6.0685,6.3095,6.1221,2.3219,3.3219,0,1
4169,7.1326,6.8461,7.3782,6.0596,6.3077,6.1248,2.3219,3.3219,0,1
4191,7.0982,6.8464,7.3725,5.9918,6.2915,6.0944,2.3219,3.3219,0,1
4208,7.0753,6.8337,7.3696,5.9257,6.2756,6.0708,2.3219,3.3219,0,1
4229,7.0536,6.8174,7.36,5.9026,6.2694,6.0591,2.3219,3.3219,0,1
4248,7.0432,6.784,7.358,5.8849,6.2568,6.0415,2.3219,3.3219,0,1
4272,7.0588,6.7785,7.365,5.8925,6.2671,6.0508,2.3219,3.3219,0,1
4291,7.0928,6.778,7.3765,5.9178,6.2813,6.0646,2.3219,3.3219,0,1
4314,7.108,6.8387,7.3916,5.9407,6.2851,6.0705,2.3219,3.3219,0,1
4336,7.1371,6.8615,7.3901,5.9452,6.2777,6.0615,2.3219,3.3219,0,1
4367,7.1441,6.8994,7.3899,5.9534,6.2698,6.0525,2.3219,3.3219,0,1
4389,7.1499,6.9269,7.4004,5.9659,6.261,6.0569,2.3219,3.3219,0,1
4407,7.1532,6.94,7.4055,5.9821,6.2723,6.0644,2.3219,3.3219,0,1
4424,7.1612,6.9499,7.4051,5.982,6.2745,6.0563,2.3219,3.3219,0,1
4447,7.1682,6.955,7.4056,5.9937,6.2771,6.0647,2.3219,3.3219,0,1
4468,7.1563,6.9559,7.3954,5.8984,6.2649,6.058,2.3219,3.3219,0,1
4489,7.1725,6.9681,7.4116,5.9002,6.3004,6.0804,2.3219,3.3219,0,1
4512,7.1941,6.9893,7.4235,6.0952,6.3353,6.1325,2.3219,3.3219,0,1
4536,7.2072,6.9978,7.4354,6.1897,6.3631,6.1931,2.3219,3.3219,0,1
4565,7.2148,7.0037,7.4369,6.22,6.3788,6.2139,2.3219,3.3219,0,1
4587,7.2131,7.003,7.4315,6.2433,6.3787,6.2305,2.3219,3.3219,0,1
4609,7.2117,6.9997,7.4395,6.254,6.4066,6.2525,2.3219,3.3219,0,1
4628,7.2037,6.9921,7.4534,6.2415,6.4137,6.2646,2.3219,3.3219,0,1
4653,7.203,6.9833,7.4843,6.25,6.4212,6.3067,2.3219,3.3219,0,1
4670,7.203,6.9815,7.5091,6.2634,6.4258,6.3287,2.3219,3.3219,0,1
4688,7.2039,6.9679,7.5146,6.2605,6.4304,6.3207,2.3219,3.3219,0,1
4709,7.2079,6.9907,7.5265,6.2515,6.4246,6.3397,2.3219,3.3219,0,1
4740,7.2212,7.0992,7.5426,6.2813,6.4266,6.3826,2.3219,3.3219,0,1
4763,7.231,7.1348,7.5462,6.3005,6.4261,6.4033,2.3219,3.3219,0,1
4784,7.2404,7.1572,7.5527,6.3252,6.4281,6.447,2.3219,3.3219,0,1
4807,7.24,7.1657,7.5597,6.3413,6.4232,6.455,2.3219,3.3219,0,1
4829,7.2397,7.1651,7.5665,6.3495,6.4193,6.4596,2.3219,3.3219,0,1
4851,7.2515,7.1687,7.574,6.37,6.4597,6.4657,2.3219,3.3219,0,1
4872,7.2649,7.1678,7.5885,6.409,6.4994,6.4701,2.3219,3.3219,0,1
4895,7.2673,7.1452,7.5865,6.3854,6.4984,6.4044,2.3219,3.3219,0,1
4916,7.2721,7.0911,7.5762,6.3528,6.4769,6.3574,2.3219,3.3219,0,1
4936,7.3027,7.0386,7.575,6.3441,6.4749,6.355,2.3219,3.3219,0,1
4954,7.3231,7.0156,7.5768,6.3316,6.4653,6.347,2.3219,3.3219,0,1
4978,7.3346,6.9641,7.5679,6.262,6.4519,6.3322,2.3219,3.3219,0,1
5000,7.3369,6.9359,7.5622,6.2079,6.4218,6.317,2.3219,3.3219,0,1
5022,7.3541,6.9098,7.5566,6.1995,6.4247,6.3028,2.3219,3.3219,0,1
5044,7.3815,6.9186,7.5692,6.2033,6.4384,6.3127,2.3219,3.3219,0,1
5070,7.391,6.9183,7.5616,6.1915,6.4312,6.3012,2.3219,3.3219,0,1
5087,7.4259,6.9135,7.5635,6.189,6.4419,6.3068,2.3219,3.3219,0,1
5108,7.4896,6.9065,7.5869,6.2098,6.4493,6.3033,2.3219,3.3219,0,1
5130,7.4889,6.8839,7.5887,6.2057,6.4447,6.2896,2.3219,3.3219,0,1
5149,7.4907,6.8418,7.581,6.2284,6.4574,6.2997,2.3219,3.3219,0,1
5171,7.4519,6.7603,7.5746,6.215,6.4502,6.306,2.3219,3.3219,0,1
5196,7.268,6.5952,7.5116,6.1986,6.4091,6.2972,2.3219,3.3219,0,1
5216,6.9009,6.3979,7.2233,5.8973,6.1971,5.8536,2.3219,3.3219,0,1
5240,6.8788,6.3764,7.1726,5.7666,6.1018,5.7255,2.3219,3.3219,0,1
5260,6.8682,6.3709,7.1332,5.7134,6.0434,5.7063,2.3219,3.3219,0,1
5284,6.9055,6.4102,7.1754,5.7511,6.0528,5.7317,2.3219,3.3219,0,1
5306,6.9276,6.4269,7.2075,5.7803,6.0568,5.8345,2.3219,3.3219,0,1
5328,6.9471,6.4357,7.2158,5.793,6.056,5.8514,2.3219,3.3219,0,1
5350,6.9599,6.4324,7.2241,5.8311,6.0633,5.8916,2.3219,3.3219,0,1
5369,6.9874,6.4271,7.2297,5.8787,6.0756,5.9027,2.3219,3.3219,0,1
5396,6.9977,6.4371,7.2182,5.8802,6.0762,5.914,2.3219,3.3219,0,1
5417,6.9993,6.4392,7.1945,5.8636,6.0756,5.9124,2.3219,3.3219,0,1
5440,7.0176,6.4682,7.1985,5.8601,6.0936,5.9283,2.3219,3.3219,0,1
5458,7.0278,6.5008,7.2031,5.8697,6.1176,5.9707,2.3219,3.3219,0,1
5488,7.0401,6.5919,7.2041,5.8895,6.1349,6.0146,2.3219,3.3219,0,1
5508,7.0724,6.6863,7.226,5.9852,6.1663,6.0916,2.3219,3.3219,0,1
5530,7.0903,6.7303,7.2431,6.0533,6.204,6.1617,2.3219,3.3219,0,1
5555,7.0972,6.7538,7.2531,6.1082,6.2214,6.1868,2.3219,3.3219,0,1
5577,7.0872,6.7538,7.2664,6.1141,6.2295,6.1853,2.3219,3.3219,0,1
5593,7.092,6.7546,7.3107,6.1513,6.2572,6.2206,2.3219,3.3219,0,1
5612,7.0829,6.7346,7.3144,6.1534,6.2707,6.2217,2.3219,3.3219,0,1
5634,7.0917,6.7294,7.3147,6.1596,6.3083,6.2237,2.3219,3.3219,0,1
5664,7.0951,6.7204,7.3157,6.106,6.3127,6.1835,2.3219,3.3219,0,1
5686,7.1008,6.715,7.3336,6.0723,6.3269,6.179,2.3219,3.3219,0,1
5705,7.0979,6.7001,7.3422,6.0475,6.3273,6.1735,2.3219,3.3219,0,1
5722,7.1086,6.6985,7.3806,6.0483,6.3591,6.1872,2.3219,3.3219,0,1
5744,7.1032,6.6874,7.3657,6.0125,6.3637,6.1864,2.3219,3.3219,0,1
5775,7.1002,6.677,7.3564,5.9885,6.3724,6.179,2.3219,3.3219,0,1
5796,7.0973,6.655,7.3408,5.9931,6.3718,6.1767,2.3219,3.3219,0,1
5814,7.0949,6.6425,7.3175,6.0033,6.3627,6.1587,2.3219,3.3219,0,1
5834,7.1001,6.6419,7.3157,6.0119,6.3738,6.1467,2.3219,3.3219,0,1
5854,7.0947,6.6311,7.3027,6.0106,6.366,6.1129,2.3219,3.3219,0,1
5876,7.1091,6.6286,7.3082,6.0215,6.372,6.1169,2.3219,3.3219,0,1
5897,7.1214,6.6299,7.3096,6.0191,6.3712,6.1108,2.3219,3.3219,0,1
5920,7.1269,6.6322,7.2988,6.0175,6.3698,6.1033,2.3219,3.3219,0,1
5948,7.138,6.6457,7.3034,6.0092,6.3587,6.0879,2.3219,3.3219,0,1
5966,7.1991,6.6733,7.3488,6.0287,6.3732,6.14,2.3219,3.3219,0,1
5988,7.2108,6.6879,7.3595,6.0425,6.3794,6.1805,2.3219,3.3219,0,1
6010,7.2069,6.6892,7.3424,6.0367,6.3712,6.1709,2.3219,3.3219,0,1
6030,7.2142,6.7067,7.3413,6.0432,6.377,6.1871,2.3219,3.3219,0,1
6051,7.215,6.7055,7.3226,6.0305,6.3645,6.1647,2.3219,3.3219,0,1
6076,7.2298,6.7249,7.3279,6.0208,6.3686,6.1535,2.3219,3.3219,0,1
6099,7.2574,6.7622,7.3501,6.0248,6.3802,6.1612,2.3219,3.3219,0,1
6126,7.2707,6.8383,7.3769,6.0621,6.3915,6.1693,2.3219,3.3219,0,1
6144,7.2986,6.869,7.4487,6.1286,6.4258,6.2364,2.3219,3.3219,0,1
6164,7.4153,6.9058,7.6389,6.2705,6.4647,6.413,2.3219,3.3219,0,1
6184,7.4832,6.9347,7.6556,6.296,6.4685,6.4303,2.3219,3.3219,0,1
6209,7.5488,7.0105,7.6852,6.3339,6.4884,6.4396,2.3219,3.3219,0,1
6236,7.5636,7.0585,7.6919,6.344,6.4962,6.4289,2.3219,3.3219,0,1
6259,7.5676,7.0815,7.6929,6.3572,6.4922,6.4365,2.3219,3.3219,0,1
6276,7.5693,7.0928,7.6957,6.3491,6.4928,6.4329,2.3219,3.3219,0,1
6294,7.5717,7.1098,7.7142,6.3604,6.5417,6.4429,2.3219,3.3219,0,1
6316,7.567,7.1148,7.7784,6.4218,6.5667,6.4722,2.3219,3.3219,0,1
6344,7.5184,7.114,7.7827,6.4092,6.5485,6.4676,2.3219,3.3219,0,1
6360,7.5068,7.1097,7.7693,6.3846,6.5371,6.4375,2.3219,3.3219,0,1
6382,7.4965,7.1068,7.7369,6.3658,6.5392,6.4341,2.3219,3.3219,0,1
6406,7.4856,7.0976,7.6922,6.3535,6.53,6.4298,2.3219,3.3219,0,1
6435,7.4777,7.096,7.6724,6.3549,6.5234,6.4248,2.3219,3.3219,0,1
6448,7.4724,7.0887,7.6611,6.3407,6.5282,6.4158,2.3219,3.3219,0,1
6470,7.4685,7.0883,7.6638,6.3313,6.5353,6.4193,2.3219,3.3219,0,1
6492,7.4627,7.0841,7.6563,6.3208,6.5209,6.4145,2.3219,3.3219,0,1
6521,7.4356,7.0796,7.6406,6.2287,6.4711,6.3442,2.3219,3.3219,0,1
6544,7.422,7.0696,7.6348,6.2183,6.4038,6.2629,2.3219,3.3219,0,1
6562,7.4164,7.0563,7.6356,6.2152,6.3651,6.2436,2.3219,3.3219,0,1
6582,7.4127,7.0432,7.6399,6.2304,6.3568,6.2348,2.3219,3.3219,0,1
