Pos,WT_1,WT_2,WT_3,Drho_1,Drho_2,Drho_3,CDS_Median,CDS_two_median,white
1013,7.4084,7.5454,7.5556,7.4282,7.2923,7.3519,10.1742,11.1742,1
1035,7.4068,7.5483,7.5582,7.4318,7.2914,7.3538,10.1742,11.1742,1
1059,7.4072,7.5509,7.5625,7.4316,7.2889,7.3497,10.1742,11.1742,1
1084,7.4115,7.5559,7.5624,7.4313,7.2877,7.3472,10.1742,11.1742,1
1101,7.422,7.5644,7.56,7.438,7.2921,7.3893,10.1742,11.1742,1
1123,7.4375,7.5841,7.5677,7.4471,7.2759,7.4082,10.1742,11.1742,1
1145,7.457,7.7218,7.6311,7.4485,7.2754,7.4118,10.1742,11.1742,1
1167,7.4721,7.7676,7.662,7.4485,7.2875,7.405,10.1742,11.1742,1
1190,7.4829,7.7743,7.6986,7.4478,7.3062,7.4078,10.1742,11.1742,1
1221,7.4857,7.7557,7.7139,7.4243,7.3063,7.3919,10.1742,11.1742,1
1243,7.4865,7.6955,7.6701,7.3968,7.2997,7.3697,10.1742,11.1742,1
1260,7.4877,7.6952,7.6237,7.3817,7.2877,7.3533,10.1742,11.1742,1
1282,7.4957,7.6946,7.6247,7.3932,7.2876,7.3556,10.1742,11.1742,1
1299,7.4951,7.68,7.6307,7.4141,7.2876,7.3829,10.1742,11.1742,1
1326,7.5024,7.6701,7.6326,7.3941,7.2837,7.3941,10.1742,11.1742,1
1348,7.5172,7.6697,7.6369,7.3845,7.2844,7.4101,10.1742,11.1742,1
1372,7.538,7.6681,7.6357,7.3772,7.273,7.4065,10.1742,11.1742,1
1392,7.5568,7.6697,7.6395,7.3775,7.2708,7.4018,10.1742,11.1742,1
1414,7.6557,7.6849,7.6673,7.3875,7.2693,7.3969,10.1742,11.1742,1
1431,7.6338,7.7003,7.681,7.3964,7.2702,7.3972,10.1742,11.1742,1
1453,7.5991,7.701,7.6615,7.4073,7.2701,7.3952,10.1742,11.1742,1
1475,7.5922,7.7001,7.6559,7.4135,7.2668,7.3941,10.1742,11.1742,1
1504,7.5825,7.6963,7.6369,7.4136,7.2629,7.3916,10.1742,11.1742,1
1519,7.5932,7.7021,7.6473,7.4238,7.2696,7.3946,10.1742,11.1742,1
1542,7.6115,7.7401,7.6588,7.4426,7.2735,7.3965,10.1742,11.1742,1
1563,7.619,7.7549,7.6652,7.4451,7.3206,7.3987,10.1742,11.1742,1
1585,7.6253,7.7667,7.6684,7.4456,7.3234,7.4044,10.1742,11.1742,1
1608,7.6268,7.7774,7.6602,7.4394,7.3238,7.3595,10.1742,11.1742,1
1636,7.6274,7.8084,7.6563,7.4315,7.3298,7.3736,10.1742,11.1742,1
1656,7.6527,7.9237,7.6748,7.452,7.3645,7.437,10.1742,11.1742,1
1674,7.6986,8.0011,7.7699,7.5407,7.4163,7.5191,10.1742,11.1742,1
1697,7.7929,8.1813,8.2273,7.7083,7.6148,7.6813,10.1742,11.1742,1
1722,7.8354,8.342,8.2605,7.746,7.7948,7.742,10.1742,11.1742,1
1745,7.863,8.4563,8.2914,7.783,7.8069,7.8074,10.1742,11.1742,1
1765,7.8801,8.5427,8.3226,7.8097,7.8182,7.8299,10.1742,11.1742,1
1783,7.9086,8.594,8.3469,7.8658,7.8212,7.8393,10.1742,11.1742,1
1808,7.9306,8.7167,8.3926,7.8975,7.8506,7.9468,10.1742,11.1742,1
1835,9.7245,9.0773,9.943,9.6173,8.9416,9.0467,10.1742,11.1742,1
1853,9.7343,9.2924,9.9707,9.661,9.0666,9.1114,10.1742,11.1742,1
1874,9.7175,9.2925,9.9759,9.6396,9.0606,9.1105,10.1742,11.1742,1
1896,8.8835,9.1479,8.8601,8.6506,8.3693,8.6202,10.1742,11.1742,1
1915,8.7308,9.1269,8.8478,8.6045,8.3023,8.5169,10.1742,11.1742,1
1937,8.6961,9.1271,8.8483,8.5787,8.2298,8.4785,10.1742,11.1742,1
1960,8.6768,9.1416,8.867,8.5543,8.1815,8.4562,10.1742,11.1742,1
1981,8.6632,9.1664,8.9381,8.5533,8.176,8.4741,10.1742,11.1742,1
2008,8.655,9.1785,9.0293,8.5442,8.181,8.4791,10.1742,11.1742,1
2025,8.6486,9.1802,9.0271,8.5337,8.1917,8.4806,10.1742,11.1742,1
2047,8.6203,9.1418,8.9515,8.4908,8.0744,8.3335,10.1742,11.1742,1
2069,8.5964,9.1117,8.8358,8.4923,7.8986,8.2793,10.1742,11.1742,1
2092,8.549,8.8935,8.8059,8.2974,7.8053,8.147,10.1742,11.1742,1
2113,8.4796,8.7403,8.7577,8.0701,7.7551,7.7951,10.1742,11.1742,1
2135,8.4183,8.7122,8.7177,8.0121,7.723,7.7536,10.1742,11.1742,1
2157,8.3881,8.6712,8.5916,7.9873,7.6726,7.737,10.1742,11.1742,1
2179,8.3684,8.6377,8.5046,7.9542,7.6019,7.7142,10.1742,11.1742,1
2204,8.3511,8.608,8.5105,7.9717,7.5937,7.7223,10.1742,11.1742,1
2228,8.1025,8.5124,8.1211,7.8996,7.5337,7.6811,10.1742,11.1742,1
2248,8.0426,8.4682,8.0884,7.8474,7.5086,7.6161,10.1742,11.1742,1
2268,8.0479,8.4731,8.1136,7.8449,7.5084,7.6009,10.1742,11.1742,1
2289,8.0381,8.4849,8.114,7.8087,7.4982,7.601,10.1742,11.1742,1
2311,8.0369,8.473,8.1081,7.7878,7.4946,7.5918,10.1742,11.1742,1
2334,8.029,8.4698,8.107,7.7417,7.489,7.5553,10.1742,11.1742,1
2361,8.0377,8.4856,8.1167,7.736,7.4905,7.5388,10.1742,11.1742,1
2387,8.0729,8.5187,8.1658,7.7281,7.4983,7.5404,10.1742,11.1742,1
2406,8.1304,8.5315,8.2379,7.7332,7.5136,7.5563,10.1742,11.1742,1
2421,8.151,8.5534,8.2841,7.7339,7.5244,7.5646,10.1742,11.1742,1
2443,8.1829,8.5636,8.314,7.7399,7.533,7.5714,10.1742,11.1742,1
2470,8.1921,8.5676,8.3395,7.7379,7.5378,7.5792,10.1742,11.1742,1
2492,8.2147,8.5777,8.3454,7.763,7.5469,7.5916,10.1742,11.1742,1
2511,8.2426,8.5946,8.3861,7.849,7.6713,7.6182,10.1742,11.1742,1
2535,8.2517,8.6188,8.4009,7.8816,7.7202,7.6551,10.1742,11.1742,1
2560,8.255,8.6278,8.4157,7.8986,7.7294,7.7132,10.1742,11.1742,1
2576,8.2624,8.6458,8.4254,7.9037,7.7386,7.715,10.1742,11.1742,1
2597,8.2741,8.6693,8.4537,7.9152,7.7442,7.7208,10.1742,11.1742,1
2619,8.2759,8.6665,8.4595,7.9232,7.7445,7.7209,10.1742,11.1742,1
2641,8.2716,8.6463,8.4603,7.9253,7.7417,7.7211,10.1742,11.1742,1
2663,8.2739,8.6307,8.4663,7.9481,7.7461,7.7534,10.1742,11.1742,1
2685,8.2646,8.5946,8.4639,7.9409,7.7479,7.749,10.1742,11.1742,1
2711,8.2389,8.5648,8.4583,7.9296,7.7421,7.7384,10.1742,11.1742,1
2734,8.1982,8.4403,8.3952,7.8378,7.5668,7.6918,10.1742,11.1742,1
2761,8.1426,8.3623,8.3749,7.7991,7.54,7.6742,10.1742,11.1742,1
2781,8.0165,8.0475,8.2276,7.5847,7.4345,7.6205,10.1742,11.1742,1
2800,7.8086,7.9638,7.8691,7.4861,7.3649,7.3817,10.1742,11.1742,1
2820,7.5944,7.919,7.8623,7.4712,7.3441,7.3417,10.1742,11.1742,1
2847,7.4674,7.6743,7.4745,7.4507,7.3207,7.2603,10.1742,11.1742,1
2871,7.4573,7.6172,7.4486,7.4487,7.3228,7.235,10.1742,11.1742,1
2890,7.4601,7.6193,7.4954,7.4445,7.3109,7.2052,10.1742,11.1742,1
2911,7.4849,7.6173,7.5465,7.4455,7.3055,7.1706,10.1742,11.1742,1
2936,7.5193,7.6208,7.5629,7.4511,7.3135,7.3804,10.1742,11.1742,1
2952,7.5405,7.6411,7.588,7.4562,7.327,7.4189,10.1742,11.1742,1
2971,7.5183,7.6174,7.5732,7.4574,7.3273,7.4226,10.1742,11.1742,1
2993,7.4829,7.5777,7.522,7.452,7.3196,7.4197,10.1742,11.1742,1
3016,7.4718,7.5169,7.4252,7.446,7.3152,7.4152,10.1742,11.1742,1
3042,7.457,7.4613,7.3821,7.4446,7.3136,7.453,10.1742,11.1742,1
3066,7.4312,7.4508,7.3777,7.4452,7.3168,7.4525,10.1742,11.1742,1
3088,7.4038,7.4496,7.3759,7.448,7.3149,7.4269,10.1742,11.1742,1
3110,7.4168,7.4515,7.4011,7.4654,7.3591,7.4458,10.1742,11.1742,1
3126,7.4716,7.4523,7.4226,7.4923,7.4621,7.4493,10.1742,11.1742,1
3154,7.5589,7.4588,7.587,7.5518,7.5184,7.5439,10.1742,11.1742,1
3179,7.6278,7.4833,7.7787,7.6185,7.57,7.619,10.1742,11.1742,1
3194,7.8198,7.5134,7.8598,7.7964,7.6328,7.6861,10.1742,11.1742,1
3213,7.7836,7.5303,7.4398,7.7866,7.626,7.6883,10.1742,11.1742,1
3235,7.7544,7.5501,7.3861,7.5135,7.269,7.5811,10.1742,11.1742,1
3257,7.7474,7.5686,7.3923,7.4386,7.2238,7.5057,10.1742,11.1742,1
3279,7.7431,7.603,7.413,7.4454,7.2205,7.5023,10.1742,11.1742,1
3302,7.7461,7.6666,7.4335,7.4557,7.2299,7.501,10.1742,11.1742,1
3323,7.7517,7.7522,7.4967,7.4977,7.238,7.5015,10.1742,11.1742,1
3355,7.7352,7.7624,7.4958,7.4763,7.23,7.4607,10.1742,11.1742,1
3375,7.6281,7.3789,7.3549,7.2368,7.2247,7.2133,10.1742,11.1742,1
3399,7.6777,7.4027,7.3693,7.2401,7.2435,7.199,10.1742,11.1742,1
3420,8.3387,8.5362,8.2267,8.0192,7.3174,7.6882,10.1742,11.1742,1
3440,8.353,8.5431,8.244,8.07,7.5804,7.7896,10.1742,11.1742,1
3455,8.3065,8.5331,8.2378,7.9165,7.5337,7.7717,10.1742,11.1742,1
3478,8.2423,8.5272,8.2274,7.8657,7.5197,7.6935,10.1742,11.1742,1
3499,8.1909,8.5192,8.2274,7.8562,7.5157,7.6825,10.1742,11.1742,1
3522,8.1521,8.4956,8.2246,7.848,7.5114,7.6622,10.1742,11.1742,1
3543,7.9945,7.9702,8.1078,7.6571,7.3196,7.4658,10.1742,11.1742,1
3565,7.9285,7.9087,7.8786,7.6465,7.298,7.3668,10.1742,11.1742,1
3590,7.9284,7.9337,7.9574,7.6944,7.309,7.3711,10.1742,11.1742,1
3618,8.2022,8.1692,8.2692,7.8548,7.6011,7.6202,10.1742,11.1742,1
3641,8.2198,8.386,8.2825,7.9026,7.9562,7.6242,10.1742,11.1742,1
3658,8.4944,8.6912,8.304,8.1959,7.843,7.6552,10.1742,11.1742,1
3678,8.6769,9.1003,8.8535,8.3313,7.861,8.0467,10.1742,11.1742,1
3697,8.7112,9.0928,8.8147,8.3317,7.8513,8.0594,10.1742,11.1742,1
3728,8.7647,9.092,8.8241,8.3475,7.8505,8.0513,10.1742,11.1742,1
3750,7.8604,8.1287,7.6997,7.389,7.2692,7.3672,10.1742,11.1742,1
3770,7.7779,8.0581,7.7048,7.3965,7.2064,7.3698,10.1742,11.1742,1
3790,7.7715,8.057,7.7072,7.4088,7.1993,7.3889,10.1742,11.1742,1
3816,7.7589,8.0199,7.703,7.4032,7.1991,7.2848,10.1742,11.1742,1
3839,7.7306,7.9562,7.7008,7.4096,7.1935,7.2548,10.1742,11.1742,1
3857,7.7261,7.9316,7.7002,7.4151,7.1861,7.2557,10.1742,11.1742,1
3878,7.7328,7.9319,7.7736,7.4566,7.2659,7.2899,10.1742,11.1742,1
3904,7.7428,7.9258,7.8224,7.4699,7.2997,7.387,10.1742,11.1742,1
3924,7.7268,7.9239,7.8592,7.4856,7.2709,7.3971,10.1742,11.1742,1
3940,7.6802,7.6573,7.3856,7.337,7.2076,7.3516,10.1742,11.1742,1
3962,7.5023,7.4444,7.2777,7.2522,7.1457,7.2231,10.1742,11.1742,1
3986,7.4243,7.3668,7.2117,7.1593,7.136,6.9173,10.1742,11.1742,1
4014,7.415,7.3654,7.2033,7.1157,7.1469,6.9173,10.1742,11.1742,1
4037,7.4133,7.3905,7.1941,7.1326,7.1504,7.0114,10.1742,11.1742,1
4057,7.4097,7.4231,7.194,7.131,7.1495,7.0156,10.1742,11.1742,1
4076,7.4289,7.573,7.2087,7.1487,7.1442,7.0123,10.1742,11.1742,1
4103,7.5149,7.825,7.3736,7.195,7.1855,7.1826,10.1742,11.1742,1
4125,7.6614,7.9999,7.6684,7.2097,7.2488,7.3131,10.1742,11.1742,1
4146,7.9141,8.3629,8.1876,7.7864,7.3191,7.4003,10.1742,11.1742,1
4164,8.0084,8.4473,8.3493,7.8535,7.3878,7.6177,10.1742,11.1742,1
4182,8.0149,8.4649,8.3451,7.8661,7.4168,7.6552,10.1742,11.1742,1
4205,8.0015,8.4651,8.2584,7.8545,7.4156,7.6547,10.1742,11.1742,1
4226,7.9737,8.4507,8.0879,7.808,7.4166,7.644,10.1742,11.1742,1
4247,7.9444,8.4435,8.0449,7.7848,7.4177,7.6296,10.1742,11.1742,1
4274,7.94,8.4261,8.0505,7.7745,7.4345,7.6437,10.1742,11.1742,1
4301,7.9283,8.3629,8.0491,7.7273,7.4227,7.6219,10.1742,11.1742,1
4323,7.9282,8.3422,8.0471,7.7237,7.4337,7.6172,10.1742,11.1742,1
4345,7.9367,8.3587,8.0713,7.7338,7.4821,7.6234,10.1742,11.1742,1
4367,8.1776,8.4101,8.1375,7.9489,7.6257,7.7001,10.1742,11.1742,1
4389,8.3013,8.526,8.2763,8.0431,7.7449,7.7687,10.1742,11.1742,1
4408,8.8078,8.9759,8.9106,8.4956,7.807,8.213,10.1742,11.1742,1
4424,8.8473,9.0634,8.9502,8.5607,7.8187,8.3679,10.1742,11.1742,1
4445,8.8573,9.0519,8.9495,8.5749,7.8286,8.3769,10.1742,11.1742,1
4472,8.8042,9.0117,8.8926,8.5159,7.8262,8.1089,10.1742,11.1742,1
4496,7.9137,8.4811,8.0297,7.7495,7.4762,7.5785,10.1742,11.1742,1
4520,7.8417,8.3274,8.0124,7.6587,7.3517,7.4902,10.1742,11.1742,1
4542,7.8128,8.1908,8.013,7.5597,7.2684,7.4435,10.1742,11.1742,1
4564,7.8204,8.1476,8.0137,7.584,7.258,7.4431,10.1742,11.1742,1
4586,7.8206,8.1153,8.0142,7.5794,7.2597,7.4485,10.1742,11.1742,1
4608,7.812,8.1131,7.9638,7.5792,7.2648,7.4548,10.1742,11.1742,1
4621,8.947,8.8987,8.8038,8.7361,7.751,8.4312,10.1742,11.1742,1
4643,8.9732,8.9691,8.8264,8.7648,7.7775,8.4652,10.1742,11.1742,1
4668,8.9626,8.9564,8.8239,8.762,7.7718,8.452,10.1742,11.1742,1
4690,8.3506,8.8792,8.5911,7.9746,7.6239,7.779,10.1742,11.1742,1
4710,8.135,8.8519,8.4124,7.9159,7.521,7.7206,10.1742,11.1742,1
4736,8.1027,8.8438,8.3136,7.866,7.514,7.6914,10.1742,11.1742,1
4763,8.0769,8.8507,8.2955,7.8521,7.5123,7.6772,10.1742,11.1742,1
4782,8.0684,8.5865,8.2919,7.8453,7.5149,7.6701,10.1742,11.1742,1
4798,8.064,8.426,8.2893,7.8375,7.5059,7.6623,10.1742,11.1742,1
4819,8.0537,8.3774,8.2752,7.7471,7.4616,7.6512,10.1742,11.1742,1
4843,8.0079,8.2527,7.5167,7.6404,7.3995,7.6105,10.1742,11.1742,1
4863,7.9603,8.1494,7.4397,7.5868,7.3679,7.5816,10.1742,11.1742,1
4886,7.941,8.1159,7.4408,7.5868,7.3591,7.5807,10.1742,11.1742,1
4908,7.9391,8.109,7.4748,7.5972,7.3555,7.5859,10.1742,11.1742,1
4930,7.9696,8.1146,7.542,7.598,7.3549,7.6051,10.1742,11.1742,1
4951,7.978,8.1735,8.3676,7.7228,7.385,7.6983,10.1742,11.1742,1
4973,9.0746,9.3676,9.1694,8.3176,7.9,8.2106,10.1742,11.1742,1
4996,9.1502,9.5346,9.2241,8.7283,7.997,8.3184,10.1742,11.1742,1
5024,9.2787,9.6103,9.3166,8.9537,8.0672,8.4999,10.1742,11.1742,1
5048,9.2821,9.6105,9.3323,8.9591,8.0343,8.4808,10.1742,11.1742,1
5066,9.3145,9.6443,9.336,8.9698,8.0167,8.4654,10.1742,11.1742,1
5088,9.3222,9.6519,9.3354,8.963,7.9874,8.452,10.1742,11.1742,1
5105,9.3142,9.6459,9.3076,8.9454,7.9571,8.3818,10.1742,11.1742,1
5127,9.3142,9.6197,9.2936,8.9295,7.9466,8.3757,10.1742,11.1742,1
5154,9.3368,9.6215,9.3071,8.9772,7.9526,8.4013,10.1742,11.1742,1
5179,9.324,9.3444,9.167,8.8676,7.8836,8.2602,10.1742,11.1742,1
5200,9.1405,8.6174,8.473,8.5868,7.7654,8.0086,10.1742,11.1742,1
5224,8.0784,8.4894,8.3482,7.8821,7.6347,7.5741,10.1742,11.1742,1
5246,8.0622,8.4641,8.3447,7.8627,7.5949,7.5661,10.1742,11.1742,1
5264,8.0765,8.5075,8.3669,7.8797,7.6056,7.5615,10.1742,11.1742,1
5288,8.1147,8.5209,8.3815,7.873,7.6056,7.5507,10.1742,11.1742,1
5310,8.0615,8.4461,8.3603,7.8276,7.5114,7.5285,10.1742,11.1742,1
5332,8.0397,8.4214,8.3632,7.7919,7.4794,7.5178,10.1742,11.1742,1
5357,8.0203,8.3631,8.3533,7.7545,7.4291,7.487,10.1742,11.1742,1
5375,7.9988,8.324,8.2506,7.5913,7.3053,7.4292,10.1742,11.1742,1
5400,7.8826,7.9845,7.9395,7.4515,7.2029,7.3525,10.1742,11.1742,1
5420,7.6635,7.9166,7.8101,7.4221,7.1781,7.3442,10.1742,11.1742,1
5442,7.4107,7.4579,7.7976,7.3818,7.1771,7.3318,10.1742,11.1742,1
5460,7.1743,7.24,6.9761,7.3718,7.1598,7.0617,10.1742,11.1742,1
5489,7.1722,7.1809,6.9173,7.3821,7.1471,7.018,10.1742,11.1742,1
5507,7.1744,7.169,6.9173,7.3603,7.1123,7.0116,10.1742,11.1742,1
5530,7.207,7.1678,6.9173,7.3093,7.0982,7.013,10.1742,11.1742,1
5545,8.0294,8.1912,7.9979,7.5947,7.2641,7.6252,10.1742,11.1742,1
5568,8.1027,8.2345,8.017,7.6483,7.3424,7.6482,10.1742,11.1742,1
5590,8.1029,8.241,8.022,7.6483,7.3435,7.6551,10.1742,11.1742,1
5611,8.0427,8.1936,8.0127,7.6182,7.3346,7.6591,10.1742,11.1742,1
5633,7.8415,8.0311,7.8362,7.4417,7.2678,7.3121,10.1742,11.1742,1
5660,7.8356,7.9583,7.7665,7.4122,7.2596,7.2978,10.1742,11.1742,1
5685,7.8624,7.9396,7.7602,7.4315,7.2662,7.3246,10.1742,11.1742,1
5705,7.8666,7.9321,7.7593,7.423,7.2585,7.3132,10.1742,11.1742,1
5722,7.8669,7.9339,7.7522,7.4232,7.2594,7.3144,10.1742,11.1742,1
5743,7.8669,7.938,7.7632,7.4266,7.2649,7.3212,10.1742,11.1742,1
5770,7.858,7.9342,7.769,7.4317,7.3432,7.3518,10.1742,11.1742,1
5796,7.7183,7.8675,7.7355,7.3963,7.2418,7.3362,10.1742,11.1742,1
5817,7.7142,7.8523,7.7192,7.3897,7.204,7.3374,10.1742,11.1742,1
5834,7.7269,7.8517,7.7253,7.3919,7.1981,7.3389,10.1742,11.1742,1
5854,7.7503,7.861,7.7834,7.3984,7.2082,7.3467,10.1742,11.1742,1
5885,7.776,7.8666,7.8104,7.406,7.211,7.3416,10.1742,11.1742,1
5904,7.8111,7.873,7.8315,7.4248,7.2217,7.3472,10.1742,11.1742,1
5928,7.814,7.8801,7.8351,7.4312,7.2278,7.3303,10.1742,11.1742,1
5951,7.8199,7.8825,7.8371,7.4321,7.2298,7.3042,10.1742,11.1742,1
5971,7.8342,7.8881,7.8369,7.4156,7.2373,7.2941,10.1742,11.1742,1
5994,7.8435,7.8955,7.8327,7.3994,7.3883,7.2969,10.1742,11.1742,1
6011,7.8436,7.8914,7.8038,7.3895,7.4186,7.2987,10.1742,11.1742,1
6036,7.3834,7.4688,7.4042,7.3372,7.0009,7.1881,10.1742,11.1742,1
6056,7.2331,7.2756,7.3533,7.2859,6.9841,7.1033,10.1742,11.1742,1
6080,7.2915,7.2726,7.3404,7.2745,6.9877,7.0645,10.1742,11.1742,1
6105,7.2521,7.2661,7.0922,7.1811,6.9866,7.0302,10.1742,11.1742,1
6123,7.2639,7.2713,7.0907,7.1862,6.9898,7.0153,10.1742,11.1742,1
6146,7.2917,7.2822,7.3081,7.2859,7.0059,7.0095,10.1742,11.1742,1
6170,7.1851,7.2796,7.2893,7.0419,7.0005,7.0066,10.1742,11.1742,1
6184,7.1885,7.2783,7.2873,7.0487,7.0024,6.9993,10.1742,11.1742,1
6212,7.1942,7.281,7.2897,7.0885,7.0011,7.0097,10.1742,11.1742,1
6229,7.2065,7.2847,7.3077,7.1231,7.0045,7.0177,10.1742,11.1742,1
6259,7.2041,7.2677,7.3085,7.1247,7.006,7.0333,10.1742,11.1742,1
6276,7.2065,7.2658,7.3116,7.1106,7.0159,7.0189,10.1742,11.1742,1
6294,7.2143,7.2672,7.3109,7.1117,7.0196,7.0207,10.1742,11.1742,1
6315,7.2219,7.2719,7.3267,7.1084,7.031,7.0204,10.1742,11.1742,1
6343,7.2294,7.2979,7.3652,7.1072,7.0438,7.0707,10.1742,11.1742,1
6368,7.2527,7.3149,7.3857,7.1139,7.0614,7.151,10.1742,11.1742,1
6389,7.4107,7.3635,7.5864,7.4767,7.1937,7.3695,10.1742,11.1742,1
6404,7.4157,7.3688,7.5912,7.4915,7.1932,7.3542,10.1742,11.1742,1
6434,7.3978,7.3559,7.5894,7.3263,7.1898,7.2434,10.1742,11.1742,1
6457,7.3773,7.3303,7.5284,7.2316,7.1183,7.2127,10.1742,11.1742,1
6475,7.3248,7.3124,7.3473,7.1849,7.074,7.2013,10.1742,11.1742,1
6491,7.307,7.3134,7.3122,7.195,7.0757,7.2179,10.1742,11.1742,1
6522,7.2962,7.3088,7.3272,7.2545,7.0752,7.2418,10.1742,11.1742,1
6544,7.2875,7.2986,7.3111,7.19,7.0707,6.9173,10.1742,11.1742,1
6564,7.2768,7.3079,7.3113,7.1525,7.0718,6.9173,10.1742,11.1742,1
6583,7.2988,7.3408,7.3122,7.1606,7.0791,7.0639,10.1742,11.1742,1
6601,7.3097,7.3785,7.3141,7.161,7.0786,7.1169,10.1742,11.1742,1
6628,7.3088,7.3815,7.3146,7.1413,7.081,7.1107,10.1742,11.1742,1
6655,7.309,7.3975,7.3185,7.1537,7.0801,7.1238,10.1742,11.1742,1
6677,7.324,7.4295,7.3441,7.2071,7.08,7.1714,10.1742,11.1742,1
6697,7.3321,7.4309,7.3648,7.2178,7.0784,7.1694,10.1742,11.1742,1
6714,7.3363,7.4335,7.4198,7.2312,7.0952,7.1483,10.1742,11.1742,1
6737,7.357,7.437,7.5689,7.2595,7.0981,7.1515,10.1742,11.1742,1
6764,7.356,7.4358,7.6838,7.2606,7.0996,7.1508,10.1742,11.1742,1
6786,7.3943,7.4553,7.8812,7.2655,7.1184,7.2205,10.1742,11.1742,1
6806,7.4751,7.4784,7.9179,7.2747,7.1075,7.2453,10.1742,11.1742,1
6823,7.8393,7.5528,7.9504,7.2947,7.1364,7.3119,10.1742,11.1742,1
6843,8.0651,7.8192,8.2294,7.8253,7.3915,7.5674,10.1742,11.1742,1
6865,8.0963,7.9092,8.2537,7.8545,7.4922,7.6442,10.1742,11.1742,1
6889,8.1379,8.1276,8.2892,7.9352,7.5707,7.7957,10.1742,11.1742,1
6910,8.1733,8.3075,8.3859,7.9698,7.6105,7.8509,10.1742,11.1742,1
6932,8.198,8.3843,8.4297,7.9744,7.6219,7.8654,10.1742,11.1742,1
